="Selection of variables used for PSM"

="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)"
="",="Indian",="HQ in Delhi",="pre-LCR patents",="pre-LCR solar patents",="pre-LCR sales",="pre-LCR employees",="Sector",="Electronics",="SOE",="Age",="Energy focus",="Manufacturer",="Subsidiary",="Phase 1",="All",="Final"

="participated (or not) in LCR auction",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="indian",="1.40**",="",="1.39**",="1.50**",="1.25*",="1.45**",="1.35*",="1.40*",="1.33*",="1.34*",="1.39*",="1.61**",="1.58*",="1.61*",="1.80*",="1.85**"
="",="(0.66)",="",="(0.65)",="(0.65)",="(0.68)",="(0.69)",="(0.72)",="(0.75)",="(0.75)",="(0.73)",="(0.77)",="(0.75)",="(0.82)",="(0.83)",="(1.08)",="(0.84)"

="HQ in Delhi=1",="",="-0.08",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="(0.51)",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="not solar patents, ihs transformed",="",="",="0.07",="",="",="",="",="",="",="",="",="",="",="",="-0.79",=""
="",="",="",="(0.18)",="",="",="",="",="",="",="",="",="",="",="",="(0.53)",=""

="solar patents 2001-2010",="",="",="",="1.24",="",="",="",="",="",="",="",="",="",="",="4.27**",="1.70*"
="",="",="",="",="(0.81)",="",="",="",="",="",="",="",="",="",="",="(2.05)",="(0.96)"

="ihs transf. pre-LCR sales",="",="",="",="",="0.03",="",="",="",="",="",="",="",="",="",="0.04",="0.04"
="",="",="",="",="",="(0.03)",="",="",="",="",="",="",="",="",="",="(0.04)",="(0.03)"

="log_total_employees",="",="",="",="",="",="-0.05",="",="",="",="",="",="",="",="",="-0.22",="-0.28*"
="",="",="",="",="",="",="(0.11)",="",="",="",="",="",="",="",="",="(0.18)",="(0.15)"

="industry",="",="",="",="",="",="",="0.66",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="(1.25)",="",="",="",="",="",="",="",="",=""

="construction",="",="",="",="",="",="",="-0.71",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="(1.02)",="",="",="",="",="",="",="",="",=""

="business services",="",="",="",="",="",="",="-1.04",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="(1.10)",="",="",="",="",="",="",="",="",=""

="electrical services, EPC",="",="",="",="",="",="",="-0.46",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="(0.86)",="",="",="",="",="",="",="",="",=""

="electronics, component manufacturers",="",="",="",="",="",="",="1.51",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="(0.98)",="",="",="",="",="",="",="",="",=""

="utility",="",="",="",="",="",="",="0.00",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="(.)",="",="",="",="",="",="",="",="",=""

="sector",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.18",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.25)",=""

="Firm in electronics sector",="",="",="",="",="",="",="",="1.97***",="1.96***",="1.85***",="1.99***",="",="",="",="",=""
="",="",="",="",="",="",="",="",="(0.61)",="(0.61)",="(0.64)",="(0.63)",="",="",="",="",=""

="Indian SOE=1",="",="",="",="",="",="",="",="",="1.09",="",="",="",="",="",="1.35",=""
="",="",="",="",="",="",="",="",="",="(0.95)",="",="",="",="",="",="(1.50)",=""

="age",="",="",="",="",="",="",="",="",="",="0.01",="",="",="",="",="0.00",=""
="",="",="",="",="",="",="",="",="",="",="(0.01)",="",="",="",="",="(0.01)",=""

="main business is energy=1",="",="",="",="",="",="",="",="",="",="",="-0.06",="",="",="",="0.01",=""
="",="",="",="",="",="",="",="",="",="",="",="(0.49)",="",="",="",="(0.61)",=""

="manufacturer",="",="",="",="",="",="",="",="",="",="",="",="1.99***",="",="",="1.65**",=""
="",="",="",="",="",="",="",="",="",="",="",="",="(0.59)",="",="",="(0.80)",=""

="solar manufacturing=1",="",="",="",="",="",="",="",="",="",="",="",="",="1.59***",="1.49**",="",="1.58**"
="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.58)",="(0.61)",="",="(0.68)"

="subsidiary of mother company",="",="",="",="",="",="",="",="",="",="",="",="",="-0.00",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.54)",="",="",=""

="part 1 NSM=1",="",="",="",="",="",="",="",="",="",="",="",="",="",="1.07",="1.15",="1.06"
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(1.13)",="(1.73)",="(1.13)"

="subsidiary",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="-0.30",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.69)",=""

="Constant",="-2.04***",="-0.87***",="-2.07***",="-2.22***",="-2.49***",="-1.83***",="-1.81",="-2.31***",="-2.31***",="-2.43***",="-2.27***",="-2.57***",="-2.42**",="-2.49***",="-3.27***",="-2.09**"
="",="(0.62)",="(0.23)",="(0.59)",="(0.61)",="(0.66)",="(0.70)",="(1.11)",="(0.73)",="(0.73)",="(0.68)",="(0.87)",="(0.74)",="(1.21)",="(0.84)",="(1.22)",="(0.87)"

="Observations",="113",="113",="113",="113",="113",="112",="110",="113",="113",="113",="113",="113",="113",="113",="112",="112"

="Standard errors in parentheses"
="All estimtes are based on a Logit model with robust standard errors in parentheses."
="* p<0.1, ** p<0.05, *** p<0.01"
