="Selection of variables used for PSM"

="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)"
="",="Indian",="HQ in Delhi",="pre-LCR patents",="pre-LCR solar patents",="pre-LCR sales",="pre-LCR employees",="Sector",="Electronics",="SOE",="Age",="Energy focus",="Manufacturer",="Subsidiary",="Phase 1",="All"

="participated (or not) in LCR auction",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="indian",="1.76**",="",="1.79**",="1.71**",="1.63**",="1.87**",="1.76**",="1.82**",="1.76*",="1.86**",="1.84**",="1.75**",="1.92**",="1.85**",="1.75*"
="",="(0.78)",="",="(0.78)",="(0.78)",="(0.80)",="(0.79)",="(0.90)",="(0.90)",="(0.90)",="(0.93)",="(0.92)",="(0.87)",="(0.96)",="(0.91)",="(1.06)"

="HQ in Delhi=1",="",="-0.05",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="(0.51)",="",="",="",="",="",="",="",="",="",="",="",="",=""

="not solar patents, ihs transformed",="",="",="-0.10",="",="",="",="",="",="",="",="",="",="",="",="-0.92*"
="",="",="",="(0.20)",="",="",="",="",="",="",="",="",="",="",="",="(0.53)"

="solar patents 2001-2010",="",="",="",="0.31",="",="",="",="",="",="",="",="",="",="",="2.20"
="",="",="",="",="(0.20)",="",="",="",="",="",="",="",="",="",="",="(1.61)"

="ihs transf. pre-LCR sales",="",="",="",="",="0.03",="",="",="",="",="",="",="",="",="",="0.05"
="",="",="",="",="",="(0.03)",="",="",="",="",="",="",="",="",="",="(0.04)"

="log_total_employees",="",="",="",="",="",="-0.09",="",="",="",="",="",="",="",="",="-0.21"
="",="",="",="",="",="",="(0.11)",="",="",="",="",="",="",="",="",="(0.18)"

="industry",="",="",="",="",="",="",="0.00",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="(1.22)",="",="",="",="",="",="",="",=""

="construction",="",="",="",="",="",="",="-0.74",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="(1.04)",="",="",="",="",="",="",="",=""

="business services",="",="",="",="",="",="",="-1.05",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="(1.12)",="",="",="",="",="",="",="",=""

="electrical services, EPC",="",="",="",="",="",="",="-0.46",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="(0.88)",="",="",="",="",="",="",="",=""

="electronics, component manufacturers",="",="",="",="",="",="",="1.53",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="(1.02)",="",="",="",="",="",="",="",=""

="utility",="",="",="",="",="",="",="0.00",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="(.)",="",="",="",="",="",="",="",=""

="sector",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.19"
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.25)"

="Firm in electronics sector",="",="",="",="",="",="",="",="2.06***",="2.05***",="2.10***",="2.02***",="",="",="",=""
="",="",="",="",="",="",="",="",="(0.63)",="(0.63)",="(0.65)",="(0.64)",="",="",="",=""

="Indian SOE=1",="",="",="",="",="",="",="",="",="1.09",="",="",="",="",="",="1.26"
="",="",="",="",="",="",="",="",="",="(0.96)",="",="",="",="",="",="(1.79)"

="age",="",="",="",="",="",="",="",="",="",="-0.00",="",="",="",="",="0.00"
="",="",="",="",="",="",="",="",="",="",="(0.01)",="",="",="",="",="(0.01)"

="main business is energy=1",="",="",="",="",="",="",="",="",="",="",="0.09",="",="",="",="0.12"
="",="",="",="",="",="",="",="",="",="",="",="(0.49)",="",="",="",="(0.60)"

="manufacturer",="",="",="",="",="",="",="",="",="",="",="",="1.90***",="",="",="1.70*"
="",="",="",="",="",="",="",="",="",="",="",="",="(0.59)",="",="",="(0.93)"

="solar manufacturing=1",="",="",="",="",="",="",="",="",="",="",="",="",="1.80***",="1.78**",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.63)",="(0.69)",=""

="subsidiary of mother company",="",="",="",="",="",="",="",="",="",="",="",="",="-0.09",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.57)",="",=""

="part 1 NSM=1",="",="",="",="",="",="",="",="",="",="",="",="",="",="1.75",="2.27"
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(1.55)",="(2.86)"

="subsidiary",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="-0.10"
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.66)"

="Constant",="-2.40***",="-0.89***",="-2.39***",="-2.40***",="-2.71***",="-2.05**",="-2.16*",="-2.74***",="-2.74***",="-2.73***",="-2.81***",="-2.70***",="-2.67*",="-2.80***",="-3.43***"
="",="(0.74)",="(0.24)",="(0.74)",="(0.74)",="(0.78)",="(0.84)",="(1.31)",="(0.89)",="(0.89)",="(0.90)",="(1.01)",="(0.86)",="(1.40)",="(0.92)",="(1.28)"

="Observations",="111",="111",="111",="111",="111",="110",="108",="111",="111",="111",="111",="111",="111",="111",="110"

="Standard errors in parentheses"
="All estimtes are based on a Logit model with robust standard errors in parentheses."
="* p<0.1, ** p<0.05, *** p<0.01"
