="Selection of variables used for PSM"

="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)"
="",="Indian",="HQ in Delhi",="pre-LCR patents",="pre-LCR solar patents",="pre-LCR sales",="pre-LCR employees",="Sector",="Electronics",="SOE",="Age",="Energy focus",="Manufacturer",="Subsidiary",="Phase 1",="All"

="participated (or not) in LCR auction",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="indian",="0.00",="",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00",="0.00"
="",="(.)",="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="HQ in Delhi=1",="",="-0.93",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="(1.15)",="",="",="",="",="",="",="",="",="",="",="",="",=""

="not solar patents, ihs transformed",="",="",="0.00",="",="",="",="",="",="",="",="",="",="",="",="0.00"
="",="",="",="(.)",="",="",="",="",="",="",="",="",="",="",="",="(.)"

="solar patents 2001-2010",="",="",="",="0.00",="",="",="",="",="",="",="",="",="",="",="0.00"
="",="",="",="",="(.)",="",="",="",="",="",="",="",="",="",="",="(.)"

="ihs transf. pre-LCR sales",="",="",="",="",="0.03",="",="",="",="",="",="",="",="",="",="0.08"
="",="",="",="",="",="(0.05)",="",="",="",="",="",="",="",="",="",="(0.11)"

="log_total_employees",="",="",="",="",="",="-0.03",="",="",="",="",="",="",="",="",="-0.39"
="",="",="",="",="",="",="(0.20)",="",="",="",="",="",="",="",="",="(0.68)"

="industry",="",="",="",="",="",="",="-0.41",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="(1.71)",="",="",="",="",="",="",="",=""

="construction",="",="",="",="",="",="",="-1.39",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="(1.83)",="",="",="",="",="",="",="",=""

="business services",="",="",="",="",="",="",="-1.61",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="(1.82)",="",="",="",="",="",="",="",=""

="electrical services, EPC",="",="",="",="",="",="",="-1.39",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="(1.64)",="",="",="",="",="",="",="",=""

="electronics, component manufacturers",="",="",="",="",="",="",="1.61",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="(1.82)",="",="",="",="",="",="",="",=""

="utility",="",="",="",="",="",="",="0.00",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="(.)",="",="",="",="",="",="",="",=""

="sector",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.04"
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.55)"

="Firm in electronics sector",="",="",="",="",="",="",="",="2.71**",="2.86**",="2.81**",="2.83**",="",="",="",=""
="",="",="",="",="",="",="",="",="(1.20)",="(1.21)",="(1.25)",="(1.22)",="",="",="",=""

="Indian SOE=1",="",="",="",="",="",="",="",="",="0.00",="",="",="",="",="",="0.00"
="",="",="",="",="",="",="",="",="",="(.)",="",="",="",="",="",="(.)"

="age",="",="",="",="",="",="",="",="",="",="-0.01",="",="",="",="",="-0.03"
="",="",="",="",="",="",="",="",="",="",="(0.01)",="",="",="",="",="(0.02)"

="main business is energy=1",="",="",="",="",="",="",="",="",="",="",="-0.30",="",="",="",="-0.25"
="",="",="",="",="",="",="",="",="",="",="",="(0.85)",="",="",="",="(0.97)"

="manufacturer",="",="",="",="",="",="",="",="",="",="",="",="2.71**",="",="",="0.00"
="",="",="",="",="",="",="",="",="",="",="",="",="(1.20)",="",="",="(.)"

="solar manufacturing=1",="",="",="",="",="",="",="",="",="",="",="",="",="0.00",="0.00",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="(.)",="(.)",=""

="subsidiary of mother company",="",="",="",="",="",="",="",="",="",="",="",="",="1.10",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="(1.51)",="",=""

="part 1 NSM=0",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.00",="0.00"
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(.)",="(.)"

="subsidiary",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="3.21*"
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(1.77)"

="Constant",="-0.61*",="-0.86**",="-0.51",="-0.61*",="-1.17",="-0.48",="0.00",="-1.10**",="-1.25***",="-0.86",="-0.97*",="-1.10**",="-2.20",="-1.01**",="-0.45"
="",="(0.36)",="(0.36)",="(0.37)",="(0.36)",="(0.93)",="(0.97)",="(1.44)",="(0.44)",="(0.47)",="(0.55)",="(0.57)",="(0.44)",="(1.69)",="(0.42)",="(2.69)"

="Observations",="34",="44",="32",="34",="34",="34",="34",="34",="33",="34",="34",="34",="30",="30",="26"

="Standard errors in parentheses"
="All estimtes are based on a Logit model with robust standard errors in parentheses."
="* p<0.1, ** p<0.05, *** p<0.01"
