="Selection of variables used for PSM"

="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)"
="",="Indian",="HQ in Delhi",="pre-LCR patents",="pre-LCR sales",="pre-LCR employees",="Sector",="Electronics",="SOE",="Age",="Energy focus",="Manufacturer",="Solar manufacturer",="Subsidiary",="All"

="firm won LCR auction or not",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="indian",="1.25",="",="1.26",="1.04",="1.34*",="1.08",="1.24",="1.11",="1.33",="1.23",="1.18",="1.49",="1.36",="1.43"
="",="(0.78)",="",="(0.78)",="(0.82)",="(0.80)",="(0.87)",="(0.86)",="(0.87)",="(0.90)",="(0.88)",="(0.83)",="(0.99)",="(0.98)",="(1.19)"

="HQ in Delhi=1",="",="-0.06",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="(0.57)",="",="",="",="",="",="",="",="",="",="",="",=""

="not solar patents, ihs transformed",="",="",="-0.03",="",="",="",="",="",="",="",="",="",="",="-0.23"
="",="",="",="(0.22)",="",="",="",="",="",="",="",="",="",="",="(0.39)"

="ihs transf. pre-LCR sales",="",="",="",="0.04",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="(0.03)",="",="",="",="",="",="",="",="",="",=""

="log_total_employees",="",="",="",="",="-0.07",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="(0.13)",="",="",="",="",="",="",="",="",=""

="industry",="",="",="",="",="",="0.66",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="(1.25)",="",="",="",="",="",="",="",=""

="construction",="",="",="",="",="",="-0.12",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="(1.08)",="",="",="",="",="",="",="",=""

="business services",="",="",="",="",="",="-1.24",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="(1.36)",="",="",="",="",="",="",="",=""

="electrical services, EPC",="",="",="",="",="",="-0.49",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="(0.96)",="",="",="",="",="",="",="",=""

="electronics, component manufacturers",="",="",="",="",="",="1.38",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="(1.03)",="",="",="",="",="",="",="",=""

="utility",="",="",="",="",="",="0.00",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="(.)",="",="",="",="",="",="",="",=""

="sector",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.05"
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.26)"

="Firm in electronics sector",="",="",="",="",="",="",="1.78***",="1.78***",="1.90***",="1.79***",="",="",="",=""
="",="",="",="",="",="",="",="(0.61)",="(0.62)",="(0.64)",="(0.64)",="",="",="",=""

="Indian SOE=1",="",="",="",="",="",="",="",="1.69*",="",="",="",="",="",="2.15*"
="",="",="",="",="",="",="",="",="(0.96)",="",="",="",="",="",="(1.18)"

="age",="",="",="",="",="",="",="",="",="-0.01",="",="",="",="",="-0.00"
="",="",="",="",="",="",="",="",="",="(0.01)",="",="",="",="",="(0.01)"

="main business is energy=1",="",="",="",="",="",="",="",="",="",="-0.04",="",="",="",="0.15"
="",="",="",="",="",="",="",="",="",="",="(0.55)",="",="",="",="(0.65)"

="manufacturer",="",="",="",="",="",="",="",="",="",="",="1.42**",="-0.53",="",="-0.52"
="",="",="",="",="",="",="",="",="",="",="",="(0.58)",="(0.85)",="",="(0.96)"

="solar manufacturing=1",="",="",="",="",="",="",="",="",="",="",="",="2.39**",="1.88***",="2.43**"
="",="",="",="",="",="",="",="",="",="",="",="",="(0.98)",="(0.63)",="(1.08)"

="subsidiary of mother company",="",="",="",="",="",="",="",="",="",="",="",="",="-0.21",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.65)",=""

="sales, ihs transformed",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.03"
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.07)"

="pre-LCR employees",="",="",="",="",="",="",="",="",="",="",="",="",="",="-0.00"
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.00)"

="subsidiary",="",="",="",="",="",="",="",="",="",="",="",="",="",="-0.24"
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.77)"

="Constant",="-2.40***",="-1.33***",="-2.39***",="-2.91***",="-2.14**",="-2.15",="-2.67***",="-2.68***",="-2.64***",="-2.65***",="-2.60***",="-2.89***",="-2.54*",="-3.77**"
="",="(0.74)",="(0.27)",="(0.74)",="(0.80)",="(0.88)",="(1.35)",="(0.85)",="(0.85)",="(0.86)",="(0.98)",="(0.81)",="(0.98)",="(1.51)",="(1.71)"

="Observations",="111",="111",="111",="111",="110",="108",="111",="111",="111",="111",="111",="111",="111",="110"

="Standard errors in parentheses"
="All estimtes are based on a Logit model with robust standard errors in parentheses."
="* p<0.1, ** p<0.05, *** p<0.01"
